S.No,Image Name,Refererence Caption,M1-Caption,M2-Caption,M3-Caption,
154,254901702_67ada9867c,man in yellow sweater catching frisbee,man in yellow sweater catching frisbee,a man holding a frisbee in front of a rock wall ,the man is standing near stone monument and throwing yellow frisbee,
155,255091927_2eb643beb2,people laying in massage chairs,people laying in massage chairs,a woman sitting on a chair in a room full of people ,three people recline in massage chairs and other two watching them.,
156,255091930_aa2b5c0eb9,man with an apron cooks husks of corn,man with an apron cooks husks of corn,a man standing in front of a display of bananas ,A black man wearing an apron is grilling cornstalks in a restaurant.,
157,255266148_7ba7df1a88,the dog has blue ball in its mouth,the dog has blue ball in its mouth,a dog with a frisbee in its mouth ,blackandwhite dog is walking with blue frisbee in its mouth,
158,255330891_86d65dfdbf,dog are runnig,dog are runnig,a woman and a man walking down a street ,the man is walking white dog with one hand whilst resting his other hand on the shoulder of the woman with the pink backpack,
159,255741044_1102982213,two dogs are running,two dogs are running,two dogs standing on a sidewalk ,two bulldogs running togerther in the grass with their tongue hanging out,
160,256085101_2c2617c5d0,dog with its mouth opened,dog with its mouth opened,a dog is yawning ,the brown or white dog mouth is open like he is yawning,
161,256283122_a4ef4a17cb,dog jumps over owner to catch smilely faced frisbee while spectators in the park watch,dog jumps over owner to catch smilely faced frisbee while spectators in the park watch,a dog  jumping to catch a frisbee ,A group of people watch with excitement as a dog jumps over a kneeling man wearing sunglasses to catch an orange frisbee in mid-air on a grassy field.,
162,256292144_b53aadae27,dog runs across the grass,dog runs across the grass,a dog jumping up into the air to catch a frisbee ,bulldog is running through grassy park while people stand in the background,
163,256439287_990ac4a761,man sits in wheelchair as woman pushes him,man sits in wheelchair as woman pushes him,a man and woman sitting on a bench ,the woman is pushing man sit in a wheelchair  on brick street while other people are passing behind them,
164,256958382_b9006bfc5b,man runs shoeless on green lawn,man runs shoeless on green lawn,a person running in a field with a frisbee ,"the barefoot man with shorts, green and white top is running on green grass in park",
165,257588281_39e1c9d929,two dogs playing in the water with stick,two dogs playing in the water with stick,a dog jumping in the air with a stick ,two black dogs running through the water with stick in its mouth,
166,258476074_f28f4a1ae6,cars parked on hill,cars parked on hill,a train is traveling down a track near a group of people ,"Several people are standing under the cloudy sky, while vehicles are parked on a hill outside a wooded area.",
167,259314892_a42b8af664,dog is playing with bigger brown dog in the woods,dog is playing with bigger brown dog in the woods,a dog is running around in a field ,small white dog is playing with bigger brown dog in the wooded area while people stand around,
168,260162669_c79a900afb,gray dog is in grass,gray dog is in grass,a dog is laying down in the grass ,gray fuzzy haired dog has its nose in the low cut grass it is standing in,
169,260231029_966e2f1727,two dogs playing on sandy beach,two dogs playing on sandy beach,a dog is standing on the beach with a frisbee ,The black and brown dogs joyfully run and play with each other on the sandy beach.,
170,260392825_ea61660633,black man in red shirt,black man in red shirt,people sitting on bus ,the man in the red shirt and flowery tie is sitting on bus by the window,
171,260520547_944f9f4c91,people walking down trail ,people walking down trail ,people walking on a beach near a body of water , people are walking down sidewalk beside the beach,
172,260828892_7925d27865,woman walking on sand leaving footprints,woman walking on sand leaving footprints,a person standing on a beach with a surfboard ,woman in black dress is leaving footprints in the sand as she walks towards the ocean,
173,260850192_fd03ea26f1,person feet are sticking out from small cave,person feet are sticking out from small cave,a man laying on a rock near a rock wall ,rocks surround the feet of an adventurer burrowing into an underground cave,
174,261490838_2f3ac98b12,dog chases deer into the woods,dog chases deer into the woods,two dogs running through a field with a bird flying overhead ,"A dog enthusiastically chases a deer through a field of vibrant yellow flowers, while the deer swiftly runs towards the shelter of the jungle.",
175,261737543_b8fdc24671,person jumping off of high rock,person jumping off of high rock,a person jumping from a cliff,"Beneath the cloudy sky, a person jumps from a cliff, with a stunning view of the city below",
176,261883591_3f2bca823c,man is standing ,man is standing ,a man standing in front of truck,"one man wearing a black jacket and a hard hat is standing in front of a green truck labeled ""China Shipping"" in a busy construction zone.",
177,262439544_e71cd26b24,kid hanging upside down from tree,kid hanging upside down from tree,a woman is sitting on a tree limb with a cat ,child wearing red sweatshirt and shorts hangs upside down from tree branch,
178,262446581_06ef7d9445,man sitting on an old piece of wood outside,man sitting on an old piece of wood outside,a man sitting in a field ,"Near the lake surrounded by green trees, a man with a backpack is sitting on a wood stem in the shrubs.",
179,262570082_6364f58f33,two dogs in water with one retrieving stick,two dogs in water with one retrieving stick,a dog running in the water with a frisbee ,tan dog and black dog with stick in mouth walking in water,
180,262642489_f5c6b9e65b,brown dog swims towards the camera,brown dog swims towards the camera,a dog swimming in the water with a fish in its mouth ,big brown dog is swimming in the ocean,
181,262681159_e5fed3acf0,girl wearing red shirt is pulling on the necklace she is wearing,girl wearing red shirt is pulling on the necklace she is wearing,a woman holding her necklace,standing girl in red shirt holding her necklace in large crowd,
182,262963190_a78b799e89,man is overlooking big snowy mountain,man is overlooking big snowy mountain,a man standing on top of a snow covered mountain ,"A man wearing a white helmet and dark clothing stands on rocks, gazing at the snowy mountain range under a sunny sky.",
183,263216826_acf868049c,couple sitting on rock overlooking valley filled with trees,couple sitting on rock overlooking valley filled with trees,a couple sitting on a rock looking at a mountain ,man and woman in an orange shirt are sitting on rock and looking at the view of the trees and the hills,
184,263231469_e85c74f5fd,person with their face covered standing in desert,person with their face covered standing in desert,a woman in a black shirt and hat walking on a beach ,young child walking in the desert with her head covered with black scarf,
185,263233914_d25004e4cd,girl with dreadlocks standing in pool,girl with dreadlocks standing in pool,a little girl in a bikini standing in the pool ,The girl wearing a pink bathing suit stands in the pool and laughs.,
186,263522013_d118d46b2d,dog shaking off water,dog shaking off water,a dog is running in the water with a frisbee in its mouth ,The tan dog shakes off the water vigorously while standing on the stone ground.,
187,263850317_5bb3a18a08,young woman in black skirt and boots walks by stores,young woman in black skirt and boots walks by stores,a woman walking down a crowded area,girl wearing mini dress and long sleve white jacket with pink bag walking through crowded area,
188,263854883_0f320c1562,dogs are playing in each other  ,dogs are playing in each other  ,two small dogs are standing in the grass ,Two small dogs are running together in the green grass,
189,264141937_585320617a,woman wearing suitcase full of money,woman wearing suitcase full of money,a person holding a suitcase filled with money,"In the street, several people are walking while a woman stands wearing dollar sign glasses, holding a silver suitcase filled with money labeled ""lucky,"" and clutching a dollar bill in her right hand.",
190,264859622_f3a00ab409,man walks across the tightrope,man walks across the tightrope,a man walking on a tightrope,A man wearing a blue dress is walking on a tightrope tied between two trees at night.,
191,264928854_d9e61f3a8e,man is talking on cellphone outside of bar,man is talking on cellphone outside of bar,a man standing in front of a sign with a red background ,the man is talking on his cellphone in front of red  store background.,
192,265223843_9ef21e1872,person hang gliding at sunset,person hang gliding at sunset,a person is flying a kite in the sky ,"As the sun sets, a man is seen hanging in the sky with a parachute.",
193,265223847_636ba039c1,person are sitting and watch to camera,person are sitting and watch to camera,person landing yellow hanglider,flying machine with yellow sail is landing with industrial buildings in the background at sunset,
194,265528702_8653eab9fa,bearded man with sunglasses in the mountains,bearded man with sunglasses in the mountains,a man with glasses standing in the mountains ,man with beard and sunglasses is standing in front of tree covered hills,
195,267015208_d80b3eb94d,cars and people gathered in city mall area,cars and people gathered in city mall area,a car parked in front of a building with people walking around ,"car  are parked in front of a building, while nearby, people standing gathered engrossed in conversation",
196,267162122_c3437414ec,black puppy jumping on the back of white puppy,black puppy jumping on the back of white puppy,a black and white dog is sniffing a fire hydrant ,black dog and white dog are wrestling next to the food dish,
197,267164457_2e8b4d30aa,climber walks along snowy peak,climber walks along snowy peak,a person standing on top of a mountain with a snowboard ,"In the morning, with the sun shining in the sky, the lake glimmers in the sunlight while the snow-covered mountains provide a breathtaking view, and a man stands atop the mountain peak, taking in the magnificent scenery.",
198,267325341_1a96ef436e,dog holds an orange rag in his mouth while running,dog holds an orange rag in his mouth while running,a dog jumping up in the air to catch a frisbee ,black dog running through grass with something orange in its mouth,
199,267836606_bbea2267c8,black dog barking,black dog barking,a black dog running through a field ,black dog is running with its mouth open across grassy field,
200,268365231_a0acecdc45,man and woman wearing black walk with arms around each other,man and woman wearing black walk with arms around each other,a man walking down a street with a black backpack ,man and woman dressed in black walk towards gate near wooded area,
201,268704620_8a8cef4cb3,two white dogs run through fiels with snow,two white dogs run through fiels with snow,two dogs are playing in the snow ,"Two white dogs are happily playing together, and running around in the snowy grass.",
202,269361490_a22ae818bf,two girls and two guys walking down the street,two girls and two guys walking down the street,a man and woman dressed in costume standing next to each other ,four people dressed in black clothing walking down street with trees in the background,
203,269630255_c3ec75c792,brown dog running in field,brown dog running in field,a dog is standing in the grass near a trail ,brown dog is running across the grass with stick in its mouth,
204,269650644_059a84ece5,people using an outdoor ice skating rink,people using an outdoor ice skating rink,a large group of people are snowboarding in a park ,"a huge building is surrounded by a park covered in snow, where a group of people are enjoying snowboarding.",
205,269898095_d00ac7d7a4,two adults sit on bench,two adults sit on bench,a man is standing by a tree with flowers ,"the parked car was beside a building, with a large tree on the roadside, and two guys were sitting on benches admiring the colorful flowers beside the water canal.",
206,269986132_91b71e8aaa,two teams of soccer players playing game on field,two teams of soccer players playing game on field,a soccer game with a player kicking a soccer ball ,the red and blue teams were playing football on the green grass field.,
207,270724499_107481c88f,the dog is running with colorful ball,the dog is running with colorful ball,a dog is standing in a field of grass ,small tan dog running on the grass with orange ball in his mouth,
208,270809922_043e3bef06,man standing on mountainside in snow,man standing on mountainside in snow,a person on skis on a snowy slope ,man is standing on top of glacier,
209,270816949_ffad112278,man standing on mountainside in snow,man standing on mountainside in snow,a man walking across a grassy field with a mountain ,"under the cloudy sky, with snow-capped mountains surrounding the ground, a man is riding a brown horse, and the horse is now standing still.",
210,270864951_1737ae5479,the woman is wearing black hat with an american flag on it,the woman is wearing black hat with an american flag on it,a woman wearing a hat and a scarf ,A brown-haired woman is wearing a black hat with an American flag and looking at something with a smile.,
211,271177682_48da79ab33,suv splashing muddy water in forest,suv splashing muddy water in forest,a car is driving down a dirt road ,car splashes through mud and leaves on the forest floor,
212,271637337_0700f307cf,dog jumps over barrier,dog jumps over barrier,a dog jumping up and down on a leash ,black and white dog in competition jumps over hurdle,
213,271660510_dd4ba34b35,the man and the woman pose for picture by some bushes,the man and the woman pose for picture by some bushes,a man and a woman smiling for the camera ,man and woman in white shirts and dark glasses smiling,
214,271770120_880e8d8e52,two black dogs playing tugofwar,two black dogs playing tugofwar,two black dogs playing with each other in a field ,two large black dogs are playing with collapsed ball on the green grass ground.,
215,272156850_c4445a53f4,man sitting on rock near trees,man sitting on rock near trees,a man sitting on a rock with a backpack ,"A man wearing shorts, a white shirt and black glasses is sitting on a rocky cliff with green tree in the background.",
216,272283076_2d4aa1d5cf,man looks up at the camera as he climbs rock and others look on,man looks up at the camera as he climbs rock and others look on,a young boy is laying on the ground with a toy ,man in white shirt is climbing rock while another man watches,
217,272546805_536c719648,two dogs play with toy,two dogs play with toy,a dog chasing a dog in the woods ,the brown and black dogs were playing with a toy near green harnesses on the sandy ground.,
218,272940778_a184dbea42,two dogs running,two dogs running,a dog and a brown dog playing in the grass ,two dogs black and brown are running in the grass,
219,272988646_1588bde6a8,woman with blue mohawk is walking with small child,woman with blue mohawk is walking with small child,a man in a black shirt and a woman in a pink dress ,"a woman with a blue mohawk holds the hand of a little boy in a green striped shirt, waiting to cross the street, while others on the opposite side of the road also wait",
220,273248777_eaf0288ab3,football player in full stadium jumping and recieving football,football player in full stadium jumping and recieving football,a man kicking a soccer ball in the air ," In the midst of a vibrant and full stadium, a football player adorned in a white shirt and another in a yellow shirt is jumping and receiving football",
221,274313927_404d0e94ab,black dog is holding white object in its teeth,black dog is holding white object in its teeth,a black dog with a black bow on its neck ,"A black dog is standing in a shrub, holding a white toy in its mouth",
222,275401000_8829250eb3,two dogs playing with tennis ball,two dogs playing with tennis ball,a dog and a cat playing with a ball ,two dogs play with green ball on wooden deck,
223,275516348_cbccebc125,dog running on two legs,dog running on two legs,a dog standing on a beach next to a tree ,brown and white dog is running on the sand in front of fallen bushes,
224,276356412_dfa01c3c9e,yellow dog digs in the sand near grass,yellow dog digs in the sand near grass,a dog running through a field of dirt ,"light brown dog is poked his head in shrubs,",
225,276699720_fe6718fd03,the person with helmet is doing jumping trick on,the person with helmet is doing jumping trick on,a person on a dirt bike in the middle of a field ,"under the cloudy sky, a person is riding and jumping on a yellow four-wheeler in a field.",
226,27782020_4dab210360,people walk around mobile puppet theater in big city,people walk around mobile puppet theater in big city,a man is standing on a street with a bike ,brightly decorated bicycle with cart with people walking around in the background,
227,278002800_3817135105,man eats pastry,man eats pastry,a man holding a hot dog in his hand ,man in black jacket is eating pastry while standing next to two other men,
228,278002875_d011ae9dc5,four young adults gathered outdoors,four young adults gathered outdoors,a woman standing next to a man holding a frisbee ,two girls and two boys walking in park,
229,278002947_3fd22a2cb6,man with mohawk walking on campus,man with mohawk walking on campus,a man holding a red and white flag ,boy with mohawk is wearing navy blue sweatshirt walking in crowd of people,
230,278007543_99f5a91a3e,dog running along the beach,dog running along the beach,a dog running on the beach with a surfboard ,brindle dog runs beside some pilings in ground at the waterside,
231,278105206_df987b0ca0,dog running through snow,dog running through snow,a dog is running through the snow with its paws in the snow ,dog is running through the snow away from the wire fence,
232,278388986_78ba84eb8f,two mountain climbers stand atop snowy peak,two mountain climbers stand atop snowy peak,a man is standing on a mountain with a backpack ,two People stand on the ridge of tall snowy mountain,
233,278496691_c1fd93e2d8,group of runners carry an injured runner out of race,group of runners carry an injured runner out of race,a woman holding a frisbee while a man watches ,a group of people carried an injured man while others watched from behind a barrier.,
234,278559394_b23af734b9,group of people on sunny day,group of people on sunny day,a man standing next to a woman in a blue shirt ,"under a sunny blue sky, a young man stares into the distance while an older lady looks the other way",
235,278608022_4175813019,girl in green field plays soccer,girl in green field plays soccer,young boys playing soccer on a field ,the girl is about to kick a soccer ball in the grass while the boy looks on,
236,279550225_d64d56158a,the man and woman are sitting together and smiling,the man and woman are sitting together and smiling,a man and a woman smile as they pose for a picture ,young man shows his tongue piercing while woman stands next to him and smiling,
237,279728508_6bd7281f3c,boy jumps into water while another watches,boy jumps into water while another watches,a man and a woman are walking through a tunnel ,"In a green hilly area, a kid excitedly jumps over a small waterfall while another boy looks on.",
238,279901198_e7a88c855a,dog are running,dog are running,a dog running after a frisbee in a forest ,"In the midst of a rocky terrain with trees covering the area, a fallen tree lays beside while two dogs run on the ground and another dog stands and observes.",
239,280706862_14c30d734a,black dog on beach carrying ball in its mouth,black dog on beach carrying ball in its mouth,a black dog with a frisbee in its mouth ,black dog walking out of the water with white ball in his mouth,
240,280932151_ae14a67be5,the white dog looks happy running,the white dog looks happy running,a dog standing on a lush green field ,white dog running from wooded area,
241,281419391_522557ce27,black race car starts up in front of crowd of people,black race car starts up in front of crowd of people,a man riding a motorcycle on top of a race track ,"in front of a crowd of people, a black race car spins its tires while smoke coming out",
242,281754914_bc8119a0ed,little boy standing in very tall green grass,little boy standing in very tall green grass,a young girl standing in a field of green grass ,the little boy in a yellow striped shirt stands in  tall shrub.,
243,282116218_7fd7583d6e,black dog runs with ball in its mouth,black dog runs with ball in its mouth,a black dog jumping in the air to catch a frisbee ,black dog running through grassy yard carrying large blue and white ball in its mouth,
244,285306009_f6ddabe687,man sits on bench reading newspaper,man sits on bench reading newspaper,a man sitting on a bench next to a park bench ,man sitting on bench reading newspaper in park,
245,285586547_c81f8905a1,man on motorcycle rides with dog,man on motorcycle rides with dog,a dog is riding on the back of a motorcycle ,man is riding motorcycle with his dog in the passenager seat,
246,286660725_ffdbdf3481,man breathes fire,man breathes fire,a person standing in front of a light at night ,"Under the night sky, a man stood in front of a house, exhaling fire with an awe-inspiring display of power and mystique",
247,287999021_998c2eeb91,two men in red helmets sit atop rocky cliff,two men in red helmets sit atop rocky cliff,two people on a mountain with a mountain range ,"In the mountainous region, two people wearing orange helmets sit on top of the mountain connected by a rope.",
248,288025239_5e59ba9c3b,person poses inside of tent surrounded by snow,person poses inside of tent surrounded by snow,a woman in a red jacket and red hat sitting in the snow ,"A man pokes his head out of a red tent, which is surrounded by snow under a sunny sky.",
249,288177922_b889f2e1fe,two young kids are walking outside,two young kids are walking outside,two young people walking down a sidewalk with skateboards ,"Two young children, wearing coats, are walking on a road beside a large tree in a park with green grounds",
250,288880576_818b6ecfef,man is climbing cliff high in the air,man is climbing cliff high in the air,a person jumping over a ledge on a ski lift ,"The man is climbing a rocky hill, and below him, there is an bridge over a river that is surrounded by green trees and fields.",
251,289599470_cc665e2dfb,man is eating piece of corn on the cob,man is eating piece of corn on the cob,a young girl eating a piece of food ,black haired girl is eating corn on the cob,
252,290019324_23582048d4,dog is running,dog is running,a dog running across a dirt field ,black and white dog with spotted face is running through dirt field,
253,290650302_ade636da35,woman in red wears glasses and long earrings,woman in red wears glasses and long earrings,a woman sitting in a chair talking on a cell phone ,"In the cabin, there are several people sitting, and a woman in a red coat with glasses leans her hand under her chin while looking to the right.",
254,290982269_79fc9f36dc,woman sits against wall in fancy building,woman sits against wall in fancy building,a woman sitting on the floor with a bag ,female in blue jeans sitting with luggage against fancy wall,
255,291952021_f111b0fb3d,pink eyed boxer dog carrying pillowcase,pink eyed boxer dog carrying pillowcase,a dog wearing a bow tie standing next to a wooden table ,brown and white dog with big brown eyes with dishtowel in his mouth on hardwood floor,
256,293327462_20dee0de56,the brown dogs are playing with blue toy together,the brown dogs are playing with blue toy together,two dogs are standing in front of a door ,the two light colored dogs are pulling on blue object that is in their mouths,
257,294549892_babb130543,three people sit and look at mountains,three people sit and look at mountains,a man is sitting on a mountain with a backpack ,"Three people  are sitting on a hill under the sunny sky, viewing of snow-capped mountains in the distance.",
258,294709836_87126898fb,two white rabbits sit on the green grass,two white rabbits sit on the green grass,a white and black cat laying on top of a grass covered field ,rabbit rests on grass another rabbit and black horse in background,
259,295729735_8360f2e64c,two people ride the train,two people ride the train,two young women sitting on a bus with their laptops ,"the girl with a red coat and handbag, and the boy with a green coat and shirt, are seated on a sofa next to an orange pole in a cabin, with the boy holding a book, and the glasses of the window reflecting in the background.",
260,297285273_688e44c014,three children playing on rocks near lake,three children playing on rocks near lake,people standing on a rock near a body of water ,"three children are playing on the rocky shoreline of a lake surrounded by trees, while a white boat floats in the river behind them.",
261,299178969_5ca1de8e40,little boy climbing tree and smiling,little boy climbing tree and smiling,a young boy is standing on a tree stump ,the little boy with a blue jeans jacket is climbing the tree with a smile on his face,
262,299181827_8dc714101b,the little girl poured water from bucket onto the person in the white shirt,the little girl poured water from bucket onto the person in the white shirt,a woman and a boy playing frisbee on a field ,"a pipe has fallen on the lawn and water is gushing out from it, while a little girl in a pink shirt is pouring a water bucket onto a person wearing a white shirt.",
263,299612419_b55fe32fea,three young men sit on rocks at the top of mountian,three young men sit on rocks at the top of mountian,three men sitting on a rock with a mountain ,under the sunny sky two guys sit on rocks while another stands looking in the distance,
264,300148649_72f7f0399c,man plays an accordion,man plays an accordion,a man is sitting on a piano with a guitar ,man in a white shirt sitting on stool and playing an accordion,
265,300222673_573fd4044b,the man is playing guitar and sitting with cat,the man is playing guitar and sitting with cat,a man holding a cat next to a computer keyboard ,posters are hung on the wall and man sitting on a chair by his computer playing his yellow guitar while staring at his cat sitting in front,
266,300314926_0b2e4b64f5,wakeboarder leaps in the air,wakeboarder leaps in the air,a dog wearing a collar and a tie ,"The man is waterskiing on the river surrounded by trees, jumping out of the water as the waves splash around him with great speed.",
267,300765528_8c8f709dda,group of people are standing,group of people are standing,a man on a surfboard in the water ,"A group of women dressed in white are standing behind a wall, picking red flowers while other people are seen walking and some are conversing with the ladies; a few people are visible from the top of the wall.",
268,302241178_a582c1b953,dog swimming in water,dog swimming in water,a parade of women dressed in white and red ,The light brown dog is swimming in the water with a stick in his mouth.,
269,302983277_69a4e732e4,man ride on horse,man ride on horse,a man walking on the beach with a surfboard ,"As the cloudy sky loomed over the snowy hills, a man with a bright yellow jacket rode his brown horse through the tranquil landscape, looking in the serene beauty around him.",
270,303795791_98ebc1d19a,two dog are running,two dog are running,a large white dog standing in the water ,The sunlight is falling down on the ground one white dog is chasing another dog,
271,304408047_98bab3ea64,two dog playing eachother,two dog playing eachother,a man riding a horse on top of a mountain ,"Under the cloudy sky, two dogs, one black and the other brown playing and jumping with delight on the grass,",
272,305199420_89f6ddd778,two man are standing,two man are standing,two dogs are standing in the grass together ,on the green ground two people dressed in blue. One is holding white toy while the other is holding an injured girl in a white dress.,
273,310213587_778fe8fb5b,people are standing and sitting on bench,people are standing and sitting on bench,a dog jumping up to catch a frisbee ,"On the side of the road, there are several benches where people are sitting. One person is standing and holding a plastic bag while drinking. In the background, there is a lush green grass area along the road heavy traffic on it.",
274,359173181_a75c950aeb,dog runs through snow covered ground near tree,dog runs through snow covered ground near tree,a woman holding a child and a man holding a frisbee ,the dog is running on snow-covered ground  with a big barren tree in the distance,
275,359837950_9e22ffe6c2,dog are running,dog are running,a woman is sitting on a bench with a group of people ,under a cloudy sky a black dog races across the rocky terrain.,
276,360723732_23199af4bf,dog with red toy in its mouth,dog with red toy in its mouth,a dog is standing in the snow with a tree ,dog with red object in its mouth is hurrying down smooth path near grass and another dog,
277,3635991166_f95304af0a,there are four smiling boys with smiles on playground with their ball,there are four smiling boys with smiles on playground with their ball,young boys are playing soccer on a soccer court ,four boys kneeling next to each other with baskeball in front of them,
278,363617160_6cb0c723be,girl paints the road,girl paints the road,a woman pouring a drink into a red bucket ,girl is holding paint brush in plastic cup and painting the ground,
279,3638178504_be1ff246bd,small child staring at horse and pony,small child staring at horse and pony,a little girl standing next to a brown horse ,little girl is looking at the two horses on the other side of the fence,
280,364213568_7f83e7d144,dog is chasing another dog carrying toy,dog is chasing another dog carrying toy,two dogs running in the sand with a frisbee ,one dog is chasing another dog that is carrying yellow toys in its mouth along the beach,
281,36422830_55c844bc2d,jeep sidewalks on some rocks,jeep sidewalks on some rocks,a red and white truck with a person on it ,red jeep hangs from the edge of rocky cliff as girl looks on,
282,365128300_6966058139,people are in the water with a raft,people are in the water with a raft,  group of people are rafting on river rapids ,"A group of people is rafting on a fast-flowing river, their paddles slicing through the water with precision, while long grasses sway on the riverbank, adding a touch of natural beauty to the exhilarating adventure.",
283,365274901_576b0f8241,the two dogs are playing ,the two dogs are playing ,a dog is walking through the snow with a stick ,"In the snowy terrain, one dog is energetically pursuing another dog that is carrying a stick in its mouth.",
284,365584746_681f33fa46,an elderly woman in a crowd ,an elderly woman in a crowd ,a woman in a wheelchair is holding a basket ,"In the midst of a crowd, an elderly woman with white coat pushing wheelchair",
285,3657209354_cde9bbd2c5,woman sitting on high cliff,woman sitting on high cliff,a man sitting on a rock with a dog ,person wearings short and hat sits on high cliff and smiles,
286,3657503733_9888ccf05e,mountain biker does trick on forest path,mountain biker does trick on forest path,a man is standing on a ledge in a park ,"A mountain biker showcases their skill and daring as they perform a jaw-dropping trick on a forest path, seamlessly blending adrenaline and nature in a thrilling display of athleticism.",
287,365759754_6cf7068c9a, dog is running through the snow, dog is running through the snow,a black dog with a stick in its mouth ,black dog is running through the snow with something white in colorur in its mouth,
288,366548880_3d3e914746,two dogs are walking through the snow ,two dogs are walking through the snow ,two dogs are walking through the snow two dogs running and jumping through snowy area,Two black and brown dogs are joyfully running and jumping in a hilly snowy area.,
289,366713533_bd6d48cf02,there is crowd of people of men women and children,there is crowd of people of men women and children,a large group of people standing in a crowd ,two men woman and two young boys stand in front of large gathering of people outside building,
290,3671777903_6fbf643980,young man parasailing in midair over the ocean,young man parasailing in midair over the ocean,a man is para sailing in the ocean ,"Under the cloudy sky, a young man is parasailing over the ocean.",
291,3671933270_d124e9a1a4,cyclist drinks water,cyclist drinks water,a man riding a bike down a street ,bicyclist is drinking out of bottle of water while riding,
292,367673290_f8799f3a85,women walking while wearing headphones,women walking while wearing headphones,a woman in a black jacket and a black skirt walking ,the woman wearing black and white jacket and red boots is also wearing headphones walking down the street,
293,367925122_335ed279a8,cute toddler girl waits in her stroller,cute toddler girl waits in her stroller,a little girl sitting on a bench with a toy ,little blonde girl is sitting on green chair,
294,367964525_b1528ac6e4,dog running through snow with trees in the background,dog running through snow with trees in the background,a dog running through the snow with a frisbee ,dog runningg through the forest and snow-covered ground,
295,3682428916_69ce66d375,person sits inside small plane on the ground,person sits inside small plane on the ground,a small plane is parked on the runway ,small white plane with someone visible in the window is sitting on runway,
296,368393384_86defdcde8,person in canoe is rafting in  waters,person in canoe is rafting in  waters,a girl in a yellow shirt is  rafting in the water ,A person in a yellow canoe is bravely rafting through wild waters.,
297,368954110_821ccf005c,three children sit on the grass,three children sit on the grass,two children sitting on the grass with a dog ,Three little children are sitting on the grassy ground with a shrub behind them.,
298,369047365_35476becc9,two men take hike with two dogs,two men take hike with two dogs,a man and woman are standing in the grass with a dog ,"On the grassy hills, a man is taking a photo while another man and his two dogs stand nearby.",
299,369186134_5eef374112,group of three dogs are walking through the snow,group of three dogs are walking through the snow,a dog and a cat are playing together ,"Two large brown dogs and one small dog are walking near an iron grill, amidst a snowy-covered area.",
300,369360998_ba56fb436f,blonde woman with red backpack in the snow,blonde woman with red backpack in the snow,a man is skiing down a snow covered slope ,"In the snow-covered area outside the forest, a woman is kneeling on the ground next to her bag and producing steam.",
301,3694071771_ce760db4c7,man with  helmet is riding on  bicycle,man with  helmet is riding on  bicycle,a woman riding a bike with a helmet on ,A man is wearing a red helmet and riding a red racing bicyle.,
302,369802520_9825f2cd84,fluffy little dog running through the snow,fluffy little dog running through the snow,a dog with a red coat and a snow covered ground ,A fluffy little dog is joyfully running on the snow-covered ground.,
303,3698944019_825ef54f2f,toddler walks along fence,toddler walks along fence,a young boy standing on a fence looking at a cell phone ,blonde child with white shirt and green pants standing with wooden fence,
304,3702607829_2b8b3e65ab,two woman sit on park bench,two woman sit on park bench,two women sitting on a bench near a lake ,"Two women are peacefully seated on a bench, with a beautiful grassy some area stretching behind them, embellished by the presence of a magnificent large tree. In the background, people can be seen joyfully enjoying the surroundings, while the distant ocean enhances the overall scenic view.",
305,3703413486_3c682732a0,two boys looking out the window of an rv,two boys looking out the window of an rv,a woman holding a surfboard in front of a bus ,two young boys lean out the window of white van with their stuffed toy,
306,370442541_60d93ecd13,man sitting on park bench watching pigeons,man sitting on park bench watching pigeons,a man is feeding pigeons on a ledge ,man and their child is feeding piegeons in park,
307,370614351_98b8a166b9,person in kilt and sports jersey and mohawk is in store,person in kilt and sports jersey and mohawk is in store,a man in a suit and tie standing in a store ,a man with multicolored hair wearing a weird outfit standing in  a store,
308,370713359_7560808550,many people sit in mexican restaurant,many people sit in mexican restaurant,people sitting at a table in a restaurant ,a people is seated at a table within a dining establishment.,
309,371522748_dc557bcd6c,blonde boy is holding blue umbrella,blonde boy is holding blue umbrella,a young man holding an umbrella in a garden ,"a young boy dressed in a blue shirt stands with a smile on his face, holding a blue umbrella in a garden.",
310,3726629271_7639634703,four dogs are playing and jumping in the air outside,four dogs are playing and jumping in the air outside,a dog and a cat playing in the water ,"under the sunny sky, four dogs are happily playing and jumping on a grassy ground in a hilly area.",
311,3727740053_3baa94ffcb,two men in karate uniforms kicking each other,two men in karate uniforms kicking each other,a man in a white shirt is jumping on a white elephant ,two men dressed in white karate uniforms are kicking each other. while a group of onlookers excitedly watches.,
312,3729525173_7f984ed776,person sits at doorstep and reads book,person sits at doorstep and reads book,a woman sitting on a ledge looking out a window ,woman is reading literature and sitting on the front stoop of building,
313,3738789925_7d17dbdf25,boy with blue eyes hanging off play set,boy with blue eyes hanging off play set,a boy is standing in front of a train ,young boy smiling while hanging from outdoor play equipment,
314,3739833689_a0038545bd, boy puts bat on his forehead , boy puts bat on his forehead ,a young boy holding a baseball bat on top of a field ,"Under the bright sun and next to the lake, a boy dressed in a white t-shirt and red shorts holds a baseball bat to his head.",
315,374103776_0de490c1b0,two girls drink at party,two girls drink at party,a woman holding a bottle of wine while standing next to a man ,"A group of men and women stand closely together at a party, some holding drinks. One woman, who is drinking, points at someone while her friend tries to lower her hand.",
